IE_XML_ID;IE_NAME;IE_ID;IP_PROP25;IP_PROP2;IP_PROP51
21421;Qum;21421;2272з;21420;Индивидуальный
21421;Qum;21421;2272з;21420;Индивидуальный
21421;Qum;21421;2272з;21420;Индивидуальный
21421;Qum;21421;2272з;21420;Индивидуальный
21421;Qum;21421;2272з;21420;Индивидуальный
21423;Kashan;21423;1470;21422;Индивидуальный
21423;Kashan;21423;1470;21422;Индивидуальный
21423;Kashan;21423;1470;21422;Индивидуальный
21423;Kashan;21423;1470;21422;Индивидуальный
21423;Kashan;21423;1470;21422;Индивидуальный
21423;Kashan;21423;1470;21422;Индивидуальный
21427;Simple;21427;1723;21426;Круглые 300x300
21427;Simple;21427;1723;21426;Круглые 300x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21428;Majestic;21428;2229;21429;Прямоугольные 200x300
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21438;VICTOR;21438;2210;21437;Прямоугольные 250x350
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21460;Artwork;21460;1001;21459;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21462;Shard;21462;1006;21461;Прямоугольные 180x280
21464;Blank;21464;11363;21463;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21466;Evgeny Ches;21466;2221;21465;Прямоугольные 250x350
21468;YVES;21468;2213;21467;Прямоугольные 250x350
21468;YVES;21468;2213;21467;Прямоугольные 250x350
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21470;Shard;21470;1007;21469;Прямоугольные 180x280
21472;Shard;21472;1008;21471;Круглые 200x200
21472;Shard;21472;1008;21471;Круглые 200x200
21472;Shard;21472;1008;21471;Круглые 200x200
21472;Shard;21472;1008;21471;Круглые 200x200
21474;Shard;21474;1009;21473;Прямоугольные 180x280
21474;Shard;21474;1009;21473;Прямоугольные 180x280
21474;Shard;21474;1009;21473;Прямоугольные 180x280
